title,start_date,end_date,color,description
신년 프로젝트 계획,2024-01-10,2024-01-10,빨간색,2024년 프로젝트 방향성 수립 회의
팀 워크숍,2024-01-15,2024-01-16,파란색,1분기 팀 빌딩 워크숍
시스템 점검,2024-01-20,2024-01-20,초록색,정기 시스템 점검 및 업데이트
고객 미팅,2024-02-01,2024-02-01,보라색,주요 고객사 미팅
개발 스프린트 1,2024-02-05,2024-02-16,주황색,1차 개발 스프린트
디자인 검토,2024-02-20,2024-02-20,빨간색,UI/UX 디자인 검토회의
코드 리뷰,2024-02-25,2024-02-25,파란색,1차 스프린트 코드 리뷰
중간 보고회,2024-03-01,2024-03-01,초록색,프로젝트 중간 보고
QA 테스트,2024-03-05,2024-03-08,보라색,품질 검증 테스트
사용자 교육,2024-03-12,2024-03-13,주황색,시스템 사용자 교육
버그 수정,2024-03-15,2024-03-18,빨간색,발견된 버그 수정 작업
보안 점검,2024-03-20,2024-03-21,파란색,보안 취약점 점검
성능 테스트,2024-03-25,2024-03-26,초록색,시스템 성능 테스트 진
